19:21:31
CONTAINER ID        NAME                                                                                                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
46a1d2bf98dd        peer0.org2.example.com                                                                                 3.19%               422.3MiB / 6.773GiB   6.09%               37.6MB / 434kB      0B / 0B             10
7ac0eb22a1d9        orderer.example.com                                                                                    0.16%               17.14MiB / 6.773GiB   0.25%               66.3kB / 195kB      0B / 0B             10
a2f080d03dc6        couchdb0                                                                                               0.77%               55.98MiB / 6.773GiB   0.81%               131kB / 69.9kB      0B / 0B             31
935ab172f170        couchdb1                                                                                               0.55%               56.3MiB / 6.773GiB    0.81%               130kB / 67.6kB      0B / 0B             31
1465e9a5e36a        clair                                                                                                  1.19%               513.6MiB / 6.773GiB   7.40%               113MB / 1.26MB      0B / 0B             17
001ea55ed420        db                                                                                                     0.01%               15.72MiB / 6.773GiB   0.23%               6.99kB / 5.85kB     0B / 0B             9
d733bdecfa37        ca_org2                                                                                                0.00%               7.992MiB / 6.773GiB   0.12%               18.9kB / 35.3kB     0B / 0B             9
5a84c3fe3425        ca_orderer                                                                                             0.00%               8.926MiB / 6.773GiB   0.13%               14.5kB / 27.1kB     0B / 0B             9
f4f3aff0c60a        ca_org1                                                                                                0.00%               9.016MiB / 6.773GiB   0.13%               18.8kB / 35.5kB     0B / 0B             9
9fd9225005a6        bbdivr-anchore_analyzer_1                                                                              0.14%               173.4MiB / 6.773GiB   2.50%               43.5kB / 51.3kB     0B / 0B             10
8edf0d45e5da        bbdivr-anchore_api_1                                                                                   0.11%               182.4MiB / 6.773GiB   2.63%               23kB / 22.2kB       0B / 0B             9
64046ab15c34        bbdivr-anchore_policy-engine_1                                                                         0.09%               181.3MiB / 6.773GiB   2.61%               2.33MB / 871kB      0B / 0B             10
e466112a2db4        bbdivr-anchore_queue_1                                                                                 10.35%              181.6MiB / 6.773GiB   2.62%               7.12MB / 8.33MB     0B / 0B             18
27d4984dddf8        bbdivr-anchore_catalog_1                                                                               0.35%               190.7MiB / 6.773GiB   2.75%               1.29MB / 1.69MB     0B / 0B             20
c016d2c48e0e        bbdivr-anchore_db_1                                                                                    3.22%               40.87MiB / 6.773GiB   0.59%               8.88MB / 8.55MB     0B / 0B             24
19:22:05
CONTAINER ID        NAME                                                                                                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
0f383000d887        dev-peer0.org2.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.08%               458.6MiB / 2GiB       22.39%              3.36kB / 2.87kB     0B / 0B             24
eace4ff6047f        dev-peer0.org1.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.11%               463.6MiB / 2GiB       22.64%              5.54kB / 3.86kB     0B / 0B             26
a2a48cf88c76        peer0.org1.example.com                                                                                 3.06%               458.9MiB / 6.773GiB   6.62%               37.6MB / 429kB      0B / 0B             10
46a1d2bf98dd        peer0.org2.example.com                                                                                 3.07%               422.3MiB / 6.773GiB   6.09%               37.6MB / 439kB      0B / 0B             10
7ac0eb22a1d9        orderer.example.com                                                                                    0.20%               17.14MiB / 6.773GiB   0.25%               66.5kB / 195kB      0B / 0B             10
